KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
MarkerBlock1,Marker Block 1,Markierungsblock 1,Bloc marqueur 1,Blocco Indicatore 1,Bloque marcador 1,,Bloco Marcador 1,Blok-znacznik 1,Блок маркера 1,マーカーブロックⅠ,标记方块 1,標記方塊 1,마커 블록 1,,Μπλοκ Σημάδι 1,Markeerblok 1,Điểm đánh dấu 1
MarkerBlock2,Marker Block 2,Markierungsblock 2,Bloc marqueur 2,Blocco Indicatore 2,Bloque marcador 2,,Bloco Marcador 2,Blok-znacznik 2,Блок маркера 2,マーカーブロックⅡ,标记方块 2,標記方塊 2,마커 블록 2,,Μπλοκ Σημάδι 2,Markeerblok 2,Điểm đánh dấu 2
MarkerBlock3,Marker Block 3,Markierungsblock 3,Bloc marqueur 3,Blocco Indicatore 3,Bloque marcador 3,,Bloco Marcador 3,Blok-znacznik 3,Блок маркера 3,マーカーブロックⅢ,标记方块 3,標記方塊 3,마커 블록 3,,Μπλοκ Σημάδι 3,Markeerblok 3,Điểm đánh dấu 3
SpaceOrange,Space Orange,Weltraumorange,Orange de l'espace,Arancia Spaziale,Espacio Naranja,,,,Космический апельсин,スペースオレンジ,,太空桔,,,Διαστημικό Πορτοκάλι,,Cam Không Gian
TrumpetGreens,Trumpet Greens,Trompetenbohne,Trompettes vertes,Fagiolini,Trompetas verdes,,Trompetes Verdes,Zielone Trąbki,Трубочник зелёный,トランペットグリーン,喇叭菜,喇叭菜,트럼펫 그린,,Πράσινες Σάλπιγγες,Trompet groenten,Rau loa kèn tươi
Sugarcane,Sugarcane,Zuckerrohr,Canne à sucre,Canna da Zucchero,Caña de azucar,,Cana-de-açúcar,Trzcina cukrowa,Сахарный тростник,シュガーコーン,甘蔗,甘蔗,사탕수수,,Ζαχαροκάλαμο,Suikerriet,Đường mía
Salami,Salami,Salami,Salami,Salame,Salami,,Salame,Salami,Салями,サラミ,香肠,香腸,살라미,,Σαλάμι,Salami,Xúc xích Ý
inpHideActionBar,Toggle Toolbar On/Off,Schnellzugriff an/aus,ON/OFF Barre Outils,Cintura On/Off,Activar/Desactivar barra de herramientas,,Alternar Barra de Ferramentas Lig./Desl.,Włącz / Wyłącz pasek narzędzi,Панель инструментов Вкл/Выкл,ツールバー On/Off,工具条切换 开/关,工具條切換 開/關,툴바 켜짐/꺼짐 토글,,Μεταβολή της της Γραμμής Εργαλείων Ανοιχτό/Κλειστό,Schakel toolbar aan/uit,Bật /Tắt Thanh công cụ
hintNoSubscribedData,No data for subscribed element,Keine Daten für abonniertes Element,Aucune donnée pour l'élément souscrit,Nessun dato per l'elemento sottoscritto,Sin datos para el elemento suscrito,,Nenhuma informação para este elemento inscrito,Brak danych dla subskrybowanego elementu,Нет данных для элемента подписки,ヒント,无订阅部分的数据,無訂閱部分的數據,가입된 요소에 대한 데이터가 없습니다.,,Δεν υπάρχουν δεδομένα για το στοιχείο εγγραφής,Geen data voor beschreven element,Không có dữ liệu cho phần tử đã đăng ký
fcwLastOnline,Last Online,Zuletzt aktiv,Dernier en ligne,Ultimo Accesso,Última vez en línea,,Última vez Online,Ostatnia aktywność,Был,最終オンライン,最后在线,最後在線,마지막 온라인,,Τελευταία Σύνδεση,Laatst online,Trực tuyến lần cuối
Yes,Yes,Ja,Oui,Si,Sí,,Sim,Tak,Да,YES,是,是,예,,Ναι,Ja,Có
No,No,Nein,Non,No,No,,Não,Nie,Нет,NO,否,否,아니오,,Όχι,Nee,Không
sswOrbit,Orbit,Orbit,Orbite,Orbita,Órbita,,Órbita,Orbita,Орбита,軌道,轨道距离,軌道距離,궤도,,Τροχιά,Orbit,Quỹ đạo
sbwNr,Nr,Nr,Nr,Nr,Núm,,Num,Nr,Номер,Nr,序号,序號,Nr,,Nr,Nr,Nr
sbwPlayfield,Playfield,Spielfeld,Zone de jeu,Area di Gioco,Campo de juego,,Setor,Strefa,Игровое поле,フィールド,所在区域,所在區域,플레이필드,,Πεδίο Παιχνιδιού,Speelveld,Sân chơi
sbwKills,Kills,Abschüsse,Tue,Uccisioni,Bajas,,Matou,Zabójstwa,Убито,キル,击杀,擊殺,살인,,Σκοτωμοί:,Kills,Giết
sbwDeaths,Deaths,Gestorben,Morts,Morti,Muertes,,Morreu,Zgony,Смертей,デス,死亡,死亡,사망,,Θάνατοι,Dood,Tử vong
FALSE,[c][ff0000]FALSE[-][/c],[c][fe7d7d]Nein[-][/c],[c][fe7d7d]Non[-][/c],[c][ff0000]FALSO[-][/c],[c][fe7d7d]No[-][/c],[c][fe7d7d]Não[-][/c],[c][fe7d7d]Não[-][/c],[c][fe7d7d]Nie[-][/c],[c][fe7d7d]Нет[-][/c],[c][fe7d7d]いいえ[-][/c］,[c][fe7d7d]No[-][/c] 。,[c][ff0000]否[-][/c],,[c][fe7d7d]Hayır[-][/c],[c][fe7d7d]Όχι[-][/c],[c][fe7d7d]Nee[-][/c],
TRUE,[c][44ff00]TRUE[-][/c],[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],[c][44ff00]VERO[-][/c],[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],[c][44ff00]是[-][/c],,[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],[c][7dff7d]Yes[-][/c],
None,None,Nicht vorhanden,Aucun,Nessuno,Ninguno,,Nenhum,Brak,Отсутствует,無し,无,無,없음,,Τίποτα,geen,Không có
SensorTriggerBlocksSV,"Sensors and Signals (SV,HV)","Sensoren & Signalgeber (KR,BG)",Capteurs et Déclencheurs SV/HV,"Sensori e Segnali (V,H)","Sensores y Señales (NP, NL)",,"Blocos de Sensor e Sinal (NP, P)","Czujniki i bloki sygnałowe (SV, HV) (grupa)","Сенсоры и Сигналы (МС,ПС)","センサー&シグナル(HV,SV)",传感和信号设备组 (小飞船，悬浮飞船),傳感和信號設備組 (小飛船，懸浮飛船),,,"Αισθητήρες και Σήματα (SV,HV)","Sensor en signaal blokken (SV, HV)","Cảm biến và tín hiệu (SV, HV)"
Closet,Wardrobe,Schrank,Armoire,Guardaroba,Armario,,Guarda Roupas,Szafka,Гардероб,ワードローブ,衣柜,衣櫃,,,Ντουλάπα,Garderobe,Tủ quần áo
PulseRifleT2,Pulse Rifle (T2),Pulsgewehr (T2),Fusil à impulsion v2,Fucile a Impulsi (L2),Rifle de pulso (T2),,Rifle de Pulso (T2),Karabin Impulsowy (T2),Импульсная винтовка (К2),パルスライフル(T2),脉冲步枪 (T2),脈衝步槍 (T2),,,Παλμικό Όπλο (Τ2),Pulsgeweer (T2),Súng trường xung (T2)
msgBlueprintAccessRightsProblem,WARNING: You seem to not have the access rights to save or overwrite a Blueprint.\nIf you still try data loss may occur!\n\nPlease try to setup Windows and your account to get the needed rights.,"WARNUNG: Du hast anscheinend nicht die Zugriffsrechte, um einen Bauplan zu speichern oder zu überschreiben.\nWenn du es trotzdem versuchst, kann Datenverlust auftreten!\n\nBitte versuche Windows und deinen Account so einzurichten, dass du die benötigten Rechte hast.","AVERTISSEMENT: Vous ne semblez pas avoir les droits d'accès pour sauvegarder ou écraser un Blueprint.\nSi vous essayez encore, vous risquez de perdre des données ! \n\nVérifiez si vos droits utilisateur de windows sont suffisants.",AVVISO: Sembra che tu non possieda i diritti di accesso per salvare o sovrascrivere un progetto.\nSe riprovi ancora si potrebbe verificare una perdita di dati!\n\nProva a configurare Windows e il tuo account per ottenere i diritti necessari.,"ADVERTENCIA: Parece que no tienes permiso de acceso para guardar o sobrescribir un Plano.\n¡Si intentas hacerlo podría haber una pérdida datos!\n\nPor favor, intenta configurar Windows y tu cuenta para obtener los permisos necesarios.",,"AVISO: Você parece não ter os direitos de acesso para salvar ou substituir um Modelo.\nSe você ainda tentar poderá perder seus dados!\n\nPor favor, tente configurar o Windows e sua conta para obter os direitos necessários.","OSTRZEŻENIE: Wygląda na to że nie masz dostępu do zapisywania, albo nadpisywania projektów.\nKontynuowanie operacji może doprowadzić do utraty danych!\n\nProsimy skonfigurować system Windows oraz lokalne konto użytkownika, aby uzyskać potrzebne uprawnienia.","ПРЕДУПРЕЖДЕНИЕ: У вас нет прав для перезаписи этого чертежа.\nЕсли вы продолжите, то данные будут потеряны!\n\nПожалуйста, войдите в аккаунт имеющий права доступа к данному чертежу.",警告:設計図を保存または上書きするためのアクセス権を持っていません. \n必要なアクセス権を得るためにWindowsのアカウント設定を変更してください. ,警告：您似乎没有保存和修改蓝图的权限。\n如果您继续尝试，数据可能会丢失。\n\n请尝试通过Windows登陆账号的设置来获得所需权限。,警告：您似乎沒有保存和修改藍圖的權限。 \n如果您繼續嘗試，數據可能會丟失。 \n\n請嘗試通過Windows登陸賬號的設置來獲得所需權限。,,,ΠΡΟΕΙΔΟΠΟΙΗΣΗ: Φαίνεται ότι δεν έχεις τα κατάλληλα δικαιώματα για να αποθηκεύσεις ή να αντικαταστήσεις ένα προσχέδιο.\nΕάν συνεχίσεις να προσπαθείς ενδέχεται να παρουσιαστεί απώλεια δεδομένων!\n\nΔοκίμασε να ρυθμίσεις τα Windows και το λογαριασμό σου για να αποκτήσεις τα απαραίτητα δικαιώματα.,WAARSCHUWING: Het lijkt erop dat je geen toegangs rechten hebt om een blauwdruk op te slaan of te overschrijven.\nIndien je toch doorgaat kan dit tot verlies van data leiden!\n\nPas Windows en/of je account aan om de benodigde rechten te krijgen.,"CẢNH BÁO: Bạn dường như không có quyền truy cập để lưu hoặc ghi đè Bản thiết kế.\n Nếu bạn vẫn cố gắng, mất dữ liệu có thể xảy ra!\n\n Vui lòng cố gắng thiết lập Cửa sổ và tài khoản của bạn để nhận các quyền cần thiết."
termXPs,Experience Points,Erfahrungspunkte,Points d'expérience,Punti Esperienza,Puntos de Experiencia,,Pontos de Experiência,Punkty doświadczenia,Очков опыта,経験値,经验点数,經驗點數,,,Πόντοι Εμπειρίας,Ervaringspunten,Điểm kinh nghiệm
termUPs,Upgrade Points,Upgrade-Punkte,Points d'amélioration,Punti Upgrade,Puntos de subida de nivel,,,,Очков улучшений,アップグレードポイント,,升級點數,,,Πόντοι Αναβάθμισης,,Điểm nâng cấp
rewardLevelIncrease,Level increase,Levelaufstieg,Augmentation de niveau,Aumento di Livello,Aumento de nivel,,,,Повышение уровня,レベル上昇,,等級提升,,,Αύξηση Επιπέδου,,Tăng cấp độ
rewardLevelTarget,Target Level,Ziel-Level,Niveau cible,Livello Bersaglio,Nivel objetivo,,Objetivo de Aumento,Poziom docelowy,Требуемый уровень,目標レベル,目标等级,目標等級,,,Επίπεδο Στόχου,Doel level,Cấp độ mục tiêu
igmWarpSVAU,Small vessels can only warp {0} AU,Kleine Raumschiffe können nur {0} AE warpen,Les petits vaisseaux peuvent faire des sauts hyperpropulsion d'une distance de {0} UA,I vascelli possono effettuare salti iperspaziali per una distanza massima di {0} UA,Las naves pequeñas solo pueden saltar {0} UA,,Naves Pequenas podem viajar apenas {0} AL,Statek kosmiczny może wykonać skok maksymalnie na odległość {0} AU,Малое судно может прыгнуть только на {0} а.е.,小型艦は {0} AU だけワープできます,小飞船只能翘曲跳跃 {0} 天文单位,小飛船隻能曲速跳躍 {0} 天文單位,,,Τα Μικρά Οχήματα μπορούν να διακτινιστούν μόνο σε απόσταση μέχρι {0} ΑΜ,Kleine schepen kunnen slechts {0} AU warpen.,Các tàu nhỏ chỉ có thể nhảy {0} AU
texSize,Size,Fläche,Taille,Dimensione,Tamaño,,Tamanho,Rozmiar,Размер,サイズ,规模,規模,,,Μέγεθος,Grootte,Kích thước
texSizeSmall,Small,Klein,Petit,Piccola,Pequeño,,Pequeno,Mały,Малый,小,小,小,,,Μικρό,Klein,Nhỏ
texSizeMedium,Medium,Mittel,Moyen,Media,Mediano,,Médio,Średni,Средний,中,中,中,,,Μεσαίο,Gemiddeld,Trung bình
texSizeLarge,Large,Gross,Grand,Grande,Grande,,Grande,Duży,Большой,大,大,大,,,Μεγάλο,Groot,Lớn
mnuParallax,Parallax Occlusion Mapping,Parallax Occlusion Mapping,Parallax Occlusion Mapping,Tassellatura,Mapeado de la ocusión de paralaje POM,,Mapeamento de Ocusão Paralax,Mapowanie okluzji paralaksy (POM),Преломление лучей,視差マッピング,视差遮蔽贴图技术,視差遮蔽貼圖技術,,,Παράλλαξη Χαρτογράφησης Περίφραξης,Parallax Occlusion Mapping,Ánh xạ ảo ảnh ba chiều
mnuParallaxOff,Off,Deaktiviert,Off,Off,Desactivado,,Desl.,Wyłączone,Выкл,オフ,关,關,,,Κλειστό,Uit,Tắt
mnuParallaxLow,Low,Niedrig,Bas,Basso,Bajo,,Baixo,Niskie,Низкое,低,低,低,,,Χαμηλό,Laag,Thấp
mnuParallaxHigh,High,Hoch,Haut,Alto,Alto,,Alto,Wysokie,Высокое,高,高,高,,,Υψηλό,Hoog,Cao
mnuAnisotropic,Anisotropic Filtering,Anisotrope Filterung,Filtrage Anisotrope,Filtro Anisotropico,Filtrado anisotrópico,,Filtro Anisotrópico,Filtrowanie anizotropowe,Анизотропная фильтрация,異方性フィルタリング,各向异性过滤,各向異性過濾,,,Ανισοτροπικό Φιλτράρισμα,Anisotropische filtering,Lọc bất đẳng hướng
bhiParallax,Set the Parallax Occlusion Mapping Level. This adds the illusion of Geometry with a Moderate Performance Impact.,"Wähle die Stärke des Parallax Occlusion Mapping. Dies emuliert eine dreidimensionale Oberfläche, erhöht den Leistungsbedarf allerdings moderat.","Définit le niveau de Parallaxe Occlusion Mapping. Ceci ajoute l'illusion de la géométrie, avec un impact modéré sur la performance",Imposta il livello di Mappatura dell'Occlusione in Parallasse. In questo modo le texture appariranno in 3D con un impatto moderato sulle prestazioni.,Establece el nivel de mapeo de la oclusión de paralaje. Esto añade la ilusión de geometría con un impacto de rendimiento moderado.,,Defina o nível de mapeamento de oclusão Parallax. Isso adiciona a ilusão de Geometria com um Impacto de Desempenho Moderado.,Ustaw poziom mapowania okluzji paralaksy. Doda to iluzję geometrii z umiarkowanym wpływem na wydajność.,Установка уровней карты параллакса отражений. Это добавляет иллюзии геометрии с умеренным воздействием на производительность.,"視差マッピングレベルを設定します. 少しのパフォーマンスを犠牲にして, 擬似的な凹凸を追加します. ",设置视差遮蔽贴图技术的等级，这会增加几何模型的影像数量但对性能会有中等程度的影响。,設置視差遮蔽貼圖技術的等級，這會增加幾何模型的影像數量但對性能會有中等程度的影響。,,,Ορισμός του Επιπέδου Παράλλαξης Χαρτογράφησης Περίφραξης. Αυτό προσθέτει την ψευδαίσθηση της γεωμετρίας με μέτριο αντίκτυπο επίδοσης.,Bepaal de Parallax Occlusion Mapping Level. Dit geeft de illusie van geometrie met een matige impact op systeem prestaties.,Đặt Mức ánh xạ khớp thị sai. Điều này tạo thêm ảo giác về Hình học với Tác động Hiệu suất Vừa phải.
bhiAnisotropic,"Enable/Disable Anisotropic Filtering. This Improves the look of Textures at shallow viewing angles, with some Performance/VRAM Cost.","Aktiviere/Deaktivere Anisotrope Filterung. Dies verbessert die Kantenschärfe, erhöht dabei allerdings den Leistungs/VRAM Bedarf.","Active/Désactive le Filtrage Anisotrope. Ceci améliore l'apparence des textures en préservant le détail à des angles de vue extrêmes, avec un coût relatif Performance/VRAM.","Attiva/Disattiva il Filtro Anisotropico. Migliora l'aspetto delle texture quando vengono inquadrate angolarmente, con un basso impatto sulle performance /VRAM.",Activa/Desactiva el filtrado anisotrópico. Esto mejora la apariencia de las texturas vistas desde ángulos oblicuos a costa de rendimiento/VRAM.,,"Ativar/Desativar filtragem anisotrópica. Isso melhora a aparência de texturas de alguns ângulos, com um certo custo de desempenho/VRAM.","Włącz / Wyłącz filtrowanie anizotropowe. Włączenie tej opcji poprawi wygląd obiektów obserwowanych pod małymi kątami, kosztem większych wymagań i VRAM.",Вкл/Выкл Анизотропной фильтрации. Это улучшает внешний вид текстур под углом. Требовательно к производительности и объему видеопамяти.,異方性フィルタリングを有効/無効にします. いくらかのパフォーマンスやVRAMを犠牲に斜めから見たテクスチャの外観を改善します. ,启用/禁用各向异性过滤。这会提高纹理的动态视觉效果，但需要更多的使用一些显存。,啟用/禁用各向異性過濾。這會提高紋理的動態視覺效果，但需要更多的使用一些顯存。,,,"Ενεργοποίηση/Απενεργοποίηση Ανισοτροπικού Φιλτραρίσματος. Αυτό βελτιώνει την εμφάνιση της Υφής σε ρηχές γωνίες θέασης, με κάποια απόδοση/κόστος VRAM.","Anisotropic Filtering aan/uit zetten. Dit bevorderd het beeld van de texturen bij lage kijkhoeken, ten koste van wat prestaties/VRAM.","Bật /Tắt tính năng Lọc không đẳng hướng. Điều này Cải thiện giao diện của Kết cấu ở góc nhìn nông, với một số Chi phí Hiệu suất /VRAM."
cplWarpDrive,Warp Drive,Warp Antrieb,Hyperpropulsion,Motore a Iperguida,Dispositivo de Curvatura,,Motor de Dobra,Napęd nadprzestrzenny,Варп двигатель,ワープドライブ,翘曲驱动器,曲速引擎,,,Οδηγός Διακτίνισης,Warp drive,Thiết Bị Bước Nhảy
WarpDriveSV,Short Range Warp Drive,Kurstrecken Warpantrieb,Moteur à distorsion courte portée,Motore a Iperguida a Corto Raggio,Dispositivo de Curvatura de corto alcance,,Motor de Dobra de Curta Distância,,Варп двигатель малого действия,短距離ワープドライブ,短程翘曲驱动器,短程曲速驅動器,,,Οδηγός Διακτίνισης Μικρού Εύρους,Korte afstand warp drive,Thiết Bị Bước Nhảy phạm vi ngắn
igmStopToExitPressTwice,Please stop the ship to exit the cockpit. Press twice to emergency exit,Bitte halte das Schiff an um auszusteigen. Drücke zweimal für Notausstieg,Arrêtez le vaisseau pour sortir du cockpit. Appuyez 2 fois pour une sortie d'urgence,Ferma la nave per uscire dalla cabina di pilotaggio. Premere due volte per effettuare un'uscita di emergenza,"Por favor, detén la nave para salir de la cabina. Pulsa la tecla dos veces para eyección de emergencia.",,Pare a nave para sair da cabine. Pressione duas vezes para uma saída de emergência,"Aby wysiąść z kokpitu, prosimy zatrzymać statek. Naciśnij dwukrotnie w celu natychmiastowej ewakuacji.",Остановите судно чтобы выйти из кабины. Или нажмите дважды для аварийного выхода,コクピットから出るには船を停止させてください. 2度押しで緊急脱出します. ,请停住舰船来退出驾驶舱。双击可以紧急退出。,請停住艦船來退出駕駛艙。雙擊可以緊急退出。,,,Παρακαλώ σταμάτησε το σκάφος για να βγεις από το πιλοτήριο. Πάτησε δύο φορές για έξοδο ανάγκης.,Stop het schip om de cockpit te verlaten. Druk tweemaal voor een nooduitgang.,Vui lòng dừng tàu để thoát khỏi buồng lái. Nhấn hai lần để thoát khẩn cấp
pdaLogTitle,PDA Log,PDA Log,Journal PDA,Diario,Registro del PDA,,PDA Log,PDA Log,КПК Название,PDA,PDA日志,PDA日誌,,,Καταγραφέας PDA,PDA log,Nhật ký PDA
pdaInfo,PDA Info,PDA Info,Infos PDA,Info PDA,Información del PDA,,PDA Info,PDA Info,КПК Инфо,PDA情報,PDA信息,PDA信息,,,Πληροφορίες PDA,PDA informatie,Thông tin PDA
pdaLog,PDA Log,PDA Log,Journal PDA,Diario,Registro del PDA,,PDA Log,PDA Log,КПК Данные,PDAログ,PDA日志,PDA日誌,,,Καταγραφέας PDA,PDA log,Nhật ký PDA
unitAbbrSeconds,s,s,s,s,s,,s,s,сек,秒,秒,秒,,,s,s,s
scfgOfflProtDelay,Offline Protection Delay,Offlineschutz Verzögerung,Délai de protection hors ligne,Ritardo Protezione Offline,Retardo de la protección Offline,,Delay da Proteção Offline,Opóźnienie aktywacji 'Ochrony Offline',Длительность оффлайновой защиты,オフライン時の保護開始時間,离线保护延迟,離線保護延遲,,,Καθυστέρηση Προστασίας Εκτός Σύνδεσης,Offline beschrming vertraging,Bảo vệ ngoại tuyến trì hoãn
igmRepairDisabled,This item cannot be repaired,Dieser Gegenstand kann nicht repariert werden,Cet objet ne peut pas être réparé,Questo elemento non può essere riparato,Este objeto no puede ser reparado,,Este item não pode ser reparado,Ten przedmiot nie może zostać naprawiony,Этот объект не может быть отремонтирован,このアイテムは修理できない. ,此物品不能被修复,此物品不能被修復,,,Αυτό το αντικείμενο δεν μπορεί να επιδιορθωθεί,Dit onderdeel kan niet worden gerepareerd,vật phẩm này không thể sửa chữa được
RepairDisabled,Repair Disabled,Reparieren nicht möglich,Réparation désactivée,Riparazione Disabilitata,Reparación Deshabilitada,,Reparação Desabilitada,Naprawa wyłączona,Ремонт выключен,修理不可,无法修理,無法修理,,,Η Επιδιόρθωση είναι Απενεργοποιημένη,Reparatie uitgeschakeld,Sửa chữa bị vô hiệu hóa
bswReplaceConfirm,Do you want to replace '{0}' with the current selection?,Möchtest du '{0}' mit der aktuellen Auswahl ersetzen?,Voulez-vous remplacer '{0}' par la sélection actuelle,Vuoi sostituire '{0}' con la selezione attuale?,¿Quieres reemplazar '{0}' con la selección actual?,,Você quer trocar '{0}' pelo item selecionado?,Czy chcesz zamienić '{0}' z aktualnym wyborem?,Вы хотите заменить '{0}' на текущий выбор?,{0}'を置き換えますか?,你是想用当前选择替换 '{0}'吗？,你是想用當前選擇替換 '{0}'嗎？,,,Θέλεις να αντικαταστήσεις το '{0}' με την τρέχουσα επιλογή;,Wil je '{0}' vervangen met huidige selectie?,Bạn có muốn thay thế '{0}' bằng lựa chọn hiện tại không?
ConcreteArmoredFull,Armored Concrete Block,Gepanzerter Betonblock,Bloc béton armé,Blocco di Cemento Armato,Bloque de hormigón armado,,Bloco de Concreto Reforçado,Blok żelbetowy,Укрепленный бетонный блок,強化コンクリート,装甲水泥方块,裝甲水泥方塊,,,Ενισχυμένο Τσιμεντένιο Μπλοκ,Gewapend betonnen blok,Khối bê tông bọc thép
ConcreteArmoredThin,Armored Concrete Block,Gepanzerter Betonblock,Bloc béton armé,Blocco di Cemento Armato,Bloque de hormigón armado,,Bloco de Concreto Reforçado,Blok żelbetowy,Укрепленный бетонный блок,強化コンクリート,装甲水泥方块,裝甲水泥方塊,,,Ενισχυμένο Τσιμεντένιο Μπλοκ,Gewapend betonnen blok,Khối bê tông bọc thép
OreScanner,Ore Scanner,Erzscanner,Détecteur minerais,Rilevatore di Minerali,Detector de minerales,,Escaner de Minérios,Skaner rudy,Сканер руды,鉱石スキャナー,矿物扫描仪,礦物掃描儀,,,Σαρωτής Μεταλλευμάτων,Grondstof scanner,Máy quét quặng
Stairs1x2x1,Stairs Wedge 2 (texturable),Treppe schräg 2 (texturierbar),Escalier plein 2 (texturable),Cuneo Scale 2 (Texturabile),Cuña de escaleras 2 (texturizable),,Borda de Escada 2 (texturizável),Schody 2 (teksturowane),Блоки лестниц 2 (текстурируемые),楔形の階段(texturable),楔形楼梯2 (可喷涂),楔形樓梯2 (可噴塗),,,Σκάλες Σφήνα 2 (ανάγλυφο),"Trap, wedge 2 (Textuurbaar)",Cầu thang bộ 2 (có thể kết cấu)
mnuGrassDensity,Grass Density,Grasdichte,Dénsité de l'herbe,Densità Erba,Densidad de la hierba,,Densidade da Grama,Zagęszczenie trawy,Плотность травы,草の密度,植被密度,植被密度,,,Πυκνότητα Γρασιδιού,Grasdichtheid,Mật độ cỏ
bhiGrassDensity,Adjust the Density of the Grass,Grasdichte anpassen,Ajuste la densité de l'herbe,Regola la densità dell'erba,Ajustar la densidad de la hierba,,Ajuste a Densidade da grama,Reguluje poziom zagęszczenia trawy w terenie,Настройка плотности травы,草の密度を調整,调整植被密度,調整植被密度,,,Ρύθμιση Πυκνότητας Γρασιδιού,Pas de dichtheid van het gras aan,Điều chỉnh mật độ của cỏ
mnuGrassDensityHigh,High,Hoch,Haut,Alta,Alto,,Alto,Wysoka,Высокое,高,高,高,,,Υψηλή,Hoog,Cao
mnuGrassDensityMedium,Medium,Mittel,Moyen,Media,Medio,,Médio,Średnia,Среднее,中,中等,中等,,,Μέτρια,Gemiddeld,Trung bình
mnuGrassDensityLow,Low,Niedrig,Bas,Bassa,Bajo,,Baixo,Niska,Низкое,低,低,低,,,Χαμηλή,Laag,Thấp
XenoSubstrate,Xeno Substrate,Xeno Substrat,Xeno Substrat,Substrato Xeno,Sustrato alienígena Xeno,,Substrato Xeno,Xeno-substrat,Ксено субстрат,ジノ基材,异种基底,異種基底,,,Υπόστρωμα Xeno,Xeno substraat,Chất nền Xeno
AlienLargeBlocks,Xeno Steel Blocks,Xeno Stahlblöcke,Blocs Xeno acier,Blocchi di Acciaio Xeno,Bloques de acero alienígena Xeno,,Blocos de Aço Xeno,Bloki Xenostalowe (grupa),Ксено стальные блоки,ジノスチール,异种钢制方块组,異種鋼製方塊組,,,Ατσάλινο Μπλοκ Xeno,Xeno stalen blokken,Khối thép Xeno
AlienFullLarge,Xeno Steel Block,Xeno Stahlblock,Bloc Xeno acier,Blocco di Acciaio Xeno,Bloque de acero alienígena Xeno,,Bloco de Aço Xeno,Blok Xenostalowy,Ксено стальной блок,ジノスチール,异种钢制方块,異種鋼製方塊,,,Ατσάλινο Μπλοκ Xeno,Xeno staal blok,Khối thép Xeno
AlienThinLarge,Xeno Steel Block,Xeno Stahlblock,Bloc Xeno acier,Blocco di Acciaio Xeno,Bloque de acero alienígena Xeno,,Bloco de Aço Xeno,Blok Xenostalowy,Ксено стальной блок,ジノスチール,异种钢制方块,異種鋼製方塊,,,Ατσάλινο Μπλοκ Xeno,Xeno staal blok,Khối thép Xeno
DegradationProb,Degradation,Abnutzung,Dégradation,Degradazione,Degradación,,Degradação,Degradacja,Деградация,分解,磨损,磨損,,,Υποβαθμισμός,Degradatie,Suy thoái
BulletSpread,Weapon Spread,Streuung,Propagation,Dispersione,Dispersión del arma,,Propagação da Bala,Promień rozrzutu,Разброс выстрелов,散布界,杀伤范围,殺傷範圍,,,Εξάπλωση Όπλων,Wapenspreiding,Truyền dẫn vũ khí
IgnoreAtmo,Ignores Atmospheric Density,Ignoriert atmosphärische Dichte,Densité ATM sans effet,Ignora la Densità Atmosferica,Ignora la densidad atmosférica,,Ignora A Densidade Atsmoférica,Niezależny od gęstości atmosfery,Игнорирует плотность атмосферы,大気密度無効,忽略大气密度,忽略大氣密度,,,Αγνοεί την Ατμοσφαιρική Πυκνότητα,Negeert atmosferische dichtheid,Bỏ qua áp suất khí quyển
bkiWeaponHandheld,Range given for space. On planets range is lower and depends on atmosphere density.,Reichweitenangabe für Weltraum. Die Reichweite innerhalb einer Atmosphäre ist je nach deren Dichte geringer.,Portée Max donnée pour l'espace. Sur les planètes la portée est plus courte et dépend de la densité de l'atmosphère.,Portata data per lo spazio. La portata sui pianeti è più bassa e dipende dalla densità dell'atmosfera.,Alcance indicado para el espacio. En los planetas el alcance es menor y depende de la densidad de la atmósfera.,,Alcance definido para o Espaço. Em planetas o alcance é menor e depende da densidade da atmosfera.,"Zasięg w próżni, na planetach będzie proporcjonalnie mniejszy zależnie od gęstości atmosfery",Дальность указана для космоса. На планетах дальность ниже и зависит от плотности атмосферы.,宇宙空間での射程.  惑星上では大気の密度に影響されるため射程は短くなります. ,太空中的射程。在星球上射程会减少，取决于该星球大气密度。,太空中的射程。在星球上射程會減少，取決於該星球大氣密度。,,,Εύρος που δίνεται για το διάστημα. Στις περιοχές των πλανητών είναι χαμηλότερο και εξαρτάται από την πυκνότητα της ατμόσφαιρας.,"Bereik gegeven voor in de ruimte, op planeten is het bereik lager en is afhankelijk van de atmosferische dichtheid.","Phạm vi cho không gian. Trên các hành tinh, phạm vi thấp hơn và phụ thuộc vào mật độ khí quyển."
